# MCTS: [] []
# PLAYERS: [MCTS_TicketToRide.PlayerType.random]
GAME,WINNER,TIME,random
0,0,0.04303598403930664,32
1,0,0.0437549352645874,32
2,0,0.04250991344451904,32
3,0,0.04217791557312012,32
4,0,0.03939998149871826,34
5,0,0.04127204418182373,32
6,0,0.04155600070953369,32
7,0,0.04143190383911133,32
8,0,0.04455900192260742,32
9,0,0.04564809799194336,32
10,0,0.044670939445495605,32
11,0,0.04516398906707764,32
12,0,0.038174986839294434,32
13,0,0.04559803009033203,32
14,0,0.04790699481964111,32
15,0,0.045117974281311035,34
16,0,0.03242301940917969,32
17,0,0.06251990795135498,34
18,0,0.044013023376464844,32
19,0,0.03745698928833008,32
20,0,0.04900693893432617,34
21,0,0.048876047134399414,32
22,0,0.040978074073791504,32
23,0,0.05269193649291992,32
24,0,0.04599404335021973,32
25,0,0.045419931411743164,32
26,0,0.04194295406341553,32
27,0,0.04698801040649414,33
28,0,0.03955996036529541,34
29,0,0.04035294055938721,34
30,0,0.03817296028137207,32
31,0,0.04363703727722168,32
32,0,0.040704965591430664,32
33,0,0.049558043479919434,32
34,0,0.043815016746520996,34
35,0,0.03514599800109863,32
36,0,0.05229294300079346,34
37,0,0.044618964195251465,32
38,0,0.041131019592285156,32
39,0,0.040428996086120605,32
40,0,0.045443058013916016,32
41,0,0.04138803482055664,33
42,0,0.04740095138549805,32
43,0,0.042207956314086914,32
44,0,0.04395794868469238,34
45,0,0.03912508487701416,32
46,0,0.04220700263977051,32
47,0,0.0421140193939209,32
48,0,0.03799092769622803,34
49,0,0.04636406898498535,32
50,0,0.045289039611816406,32
51,0,0.037005066871643066,34
52,0,0.04489302635192871,32
53,0,0.03330802917480469,32
54,0,0.038540005683898926,32
55,0,0.03736305236816406,32
56,0,0.03782308101654053,34
57,0,0.04314398765563965,33
58,0,0.037165045738220215,32
59,0,0.03856801986694336,32
60,0,0.03723299503326416,34
61,0,0.04048001766204834,33
62,0,0.04194295406341553,32
63,0,0.0391230583190918,32
64,0,0.04623401165008545,34
65,0,0.03852105140686035,32
66,0,0.053042054176330566,34
67,0,0.034005045890808105,32
68,0,0.04107391834259033,34
69,0,0.04533195495605469,34
70,0,0.044125914573669434,32
71,0,0.04418003559112549,32
72,0,0.038735032081604004,32
73,0,0.03971600532531738,32
74,0,0.043830037117004395,32
75,0,0.04293107986450195,32
76,0,0.045104026794433594,32
77,0,0.042840003967285156,34
78,0,0.03895902633666992,32
79,0,0.041477084159851074,32
80,0,0.04137897491455078,32
81,0,0.042669057846069336,34
82,0,0.03806591033935547,32
83,0,0.04357707500457764,32
84,0,0.03541994094848633,32
85,0,0.046589016914367676,32
86,0,0.03964197635650635,34
87,0,0.042875051498413086,32
88,0,0.0381619930267334,32
89,0,0.042701005935668945,34
90,0,0.039598941802978516,34
91,0,0.034693002700805664,32
92,0,0.0434039831161499,34
93,0,0.038282036781311035,32
94,0,0.039343953132629395,32
95,0,0.036903977394104004,32
96,0,0.04397904872894287,32
97,0,0.03209400177001953,32
98,0,0.041398048400878906,32
99,0,0.04613292217254639,34
100,0,0.04410898685455322,32
101,0,0.035807013511657715,32
102,0,0.045214056968688965,34
103,0,0.04130899906158447,32
104,0,0.03563404083251953,32
105,0,0.04107093811035156,32
106,0,0.0404740571975708,32
107,0,0.043756961822509766,32
108,0,0.04012000560760498,32
109,0,0.03959000110626221,34
110,0,0.039349913597106934,35
111,0,0.048326969146728516,32
112,0,0.043576955795288086,32
113,0,0.039122939109802246,32
114,0,0.03588104248046875,32
115,0,0.037582993507385254,32
116,0,0.040122032165527344,32
117,0,0.041824936866760254,34
118,0,0.043038010597229004,32
119,0,0.048864006996154785,34
120,0,0.06490695476531982,32
121,0,0.05163300037384033,32
122,0,0.04553794860839844,32
123,0,0.046643972396850586,32
124,0,0.034863948822021484,32
125,0,0.03762197494506836,32
126,0,0.03807508945465088,32
127,0,0.04010200500488281,32
128,0,0.03790903091430664,32
129,0,0.04046201705932617,34
130,0,0.06291007995605469,32
131,0,0.061791062355041504,32
132,0,0.05347096920013428,32
133,0,0.06027102470397949,34
134,0,0.04204702377319336,32
135,0,0.051840901374816895,34
136,0,0.03861701488494873,32
137,0,0.04572105407714844,32
138,0,0.041972994804382324,32
139,0,0.0393369197845459,32
140,0,0.04006803035736084,32
141,0,0.06341898441314697,32
142,0,0.056880950927734375,32
143,0,0.04460597038269043,32
144,0,0.04205596446990967,32
145,0,0.04120504856109619,32
146,0,0.038139939308166504,33
147,0,0.041702985763549805,33
148,0,0.04290199279785156,32
