GAME,WINNER,TIME,random,random
76,1,0.10994291305541992,19,37
77,0,0.13432705402374268,36,27
78,0,0.13090503215789795,36,24
79,1,0.1367030143737793,26,38
80,1,0.1445770263671875,24,36
81,1,0.14974594116210938,25,35
82,1,0.1594860553741455,26,41
83,0,0.13447391986846924,38,22
84,0,0.14573299884796143,38,25
85,0,0.14098894596099854,37,27
86,0,0.13495004177093506,35,35
87,0,0.11265206336975098,35,23
88,1,0.10782301425933838,23,35
89,0,0.11104691028594971,37,18
90,0,0.13966405391693115,37,23
91,0,0.12757599353790283,36,24
92,0,0.14420902729034424,38,26
93,1,0.14079499244689941,24,35
94,1,0.11127495765686035,21,38
95,0,0.15393197536468506,36,24
96,0,0.14399492740631104,39,25
97,0,0.16224801540374756,41,26
98,1,0.12875401973724365,24,35
99,1,0.10995995998382568,23,37
100,1,0.14166605472564697,25,38
101,0,0.12984895706176758,37,23
102,1,0.12835097312927246,22,37
103,1,0.10814905166625977,21,35
104,0,0.09786391258239746,34,22
105,0,0.1260470151901245,35,21
106,0,0.10535895824432373,35,21
107,1,0.1466360092163086,26,38
108,0,0.12516403198242188,36,24
109,1,0.11818408966064453,24,36
110,0,0.1468280553817749,37,23
111,0,0.12013709545135498,35,35
112,0,0.13427889347076416,37,19
113,1,0.10770905017852783,23,35
114,1,0.12221801280975342,20,36
115,0,0.12198507785797119,36,16
116,0,0.13131499290466309,36,34
117,1,0.12582600116729736,24,36
118,0,0.11590194702148438,36,16
119,0,0.14889907836914062,38,22
120,0,0.12062501907348633,36,20
121,0,0.12851297855377197,38,18
122,0,0.14160192012786865,38,22
123,0,0.12291502952575684,35,17
124,1,0.11955106258392334,19,37
125,1,0.16444706916809082,19,37
126,1,0.14224004745483398,38,39
127,0,0.1050950288772583,36,16
128,1,0.11387407779693604,22,38
129,1,0.12681996822357178,18,38
130,0,0.1306149959564209,38,22
131,0,0.11955392360687256,38,22
132,1,0.12966299057006836,21,35
133,1,0.12598299980163574,21,35
134,0,0.15568900108337402,39,25
135,0,0.16380000114440918,36,24
136,1,0.1568700075149536,26,38
137,1,0.14690101146697998,26,38
138,0,0.1476759910583496,38,26
