# MCTS: [1000] [1.1]
# PLAYERS: [MCTS_TicketToRide.PlayerType.big, MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.mcts(1000, 0.275)]
GAME,PLAYERS,WINNER,TIME
# MCTS: [1000] [1.1]
# PLAYERS: [MCTS_TicketToRide.PlayerType.big, MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.mcts(1000, 0.275)]
GAME,PLAYERS,WINNER,TIME
0,brrm,3,2616.408038020134
1,brrm,2,2746.1884599924088
2,brrm,3,2705.6867940425873
3,brrm,3,2642.853173017502
4,brrm,1,2680.313709974289
5,brrm,1,2603.0025379657745
6,brrm,0,2731.6031700372696
7,brrm,2,2652.9214630126953
8,brrm,3,2725.2047239542007
9,brrm,2,2537.7714120149612
10,brrm,3,2627.183161020279
11,brrm,3,2703.7187439203262
12,brrm,3,2715.188632965088
13,brrm,1,2612.321102976799
14,brrm,1,2746.159082055092
15,brrm,3,2536.079939007759
16,brrm,0,2678.6626609563828
17,brrm,3,2655.8783469200134
18,brrm,0,2548.217785000801
19,brrm,3,2513.65167093277
