# MCTS: [1000] [1.2]
# PLAYERS: [MCTS_TicketToRide.PlayerType.big, MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.mcts(1000, 0.3)]
GAME,PLAYERS,WINNER,TIME
# MCTS: [1000] [1.2]
# PLAYERS: [MCTS_TicketToRide.PlayerType.big, MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.mcts(1000, 0.3)]
GAME,PLAYERS,WINNER,TIME
0,brrm,3,2457.9381580352783
1,brrm,2,2707.2579790353775
2,brrm,2,2703.700798034668
3,brrm,3,2632.6277219057083
4,brrm,3,2670.6355699300766
5,brrm,1,2708.103752017021
6,brrm,3,2483.038129925728
7,brrm,1,2561.351220011711
8,brrm,3,2535.531275033951
9,brrm,3,2732.2227449417114
10,brrm,3,2749.4919790029526
11,brrm,1,2680.9883469343185
12,brrm,1,2711.8133339881897
13,brrm,3,2651.578747987747
14,brrm,0,2675.3751500844955
15,brrm,3,2637.3537460565567
16,brrm,2,2724.434028983116
17,brrm,3,2664.082580089569
18,brrm,3,2710.42484498024
19,brrm,3,2596.5901300907135
