# MCTS: [1000] [2.5]
# PLAYERS: [MCTS_TicketToRide.PlayerType.big, MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.mcts(1000, 0.625)]
GAME,PLAYERS,WINNER,TIME
0,brrm,3,2679.7300930023193
1,brrm,3,2631.881122946739
2,brrm,3,2666.063166975975
3,brrm,1,2553.7578970193863
4,brrm,1,2716.109738945961
5,brrm,3,2573.2028220891953
6,brrm,3,2732.0745829343796
7,brrm,3,2594.225124001503
8,brrm,2,2641.8167510032654
9,brrm,2,2615.9697350263596
10,brrm,3,2786.7354720830917
11,brrm,3,2598.3977069854736
12,brrm,3,2741.4392269849777
13,brrm,2,2648.0986169576645
14,brrm,1,2559.44939994812
15,brrm,3,2469.8579120635986
16,brrm,3,2677.4166779518127
17,brrm,3,2799.528741955757
18,brrm,3,2535.594004034996
19,brrm,3,2628.4059170484543
