# MCTS: [] []
# PLAYERS: [MCTS_TicketToRide.PlayerType.big]
GAME,WINNER,TIME,big
0,0,0.12375795841217041,60
1,0,0.09691107273101807,60
2,0,0.030386924743652344,60
3,0,0.0386350154876709,60
4,0,0.06912195682525635,60
5,0,0.03226304054260254,60
6,0,0.09049701690673828,60
7,0,0.03435492515563965,60
8,0,0.043666958808898926,60
9,0,0.07964396476745605,60
10,0,0.03225600719451904,60
11,0,0.030551910400390625,60
12,0,0.052482008934020996,60
13,0,0.051023006439208984,60
14,0,0.031813979148864746,60
15,0,0.03405106067657471,60
16,0,0.03239595890045166,60
17,0,0.0308380126953125,60
18,0,0.07834196090698242,60
19,0,0.07900798320770264,60
20,0,0.03678405284881592,60
21,0,0.02263200283050537,60
22,0,0.06823098659515381,60
23,0,0.06612288951873779,60
24,0,0.05575299263000488,60
25,0,0.018069982528686523,60
26,0,0.05696702003479004,60
27,0,0.05469393730163574,60
28,0,0.02592289447784424,60
29,0,0.02015995979309082,60
30,0,0.061679959297180176,60
31,0,0.02471303939819336,60
32,0,0.01811802387237549,60
33,0,0.029263019561767578,60
34,0,0.022829055786132812,60
35,0,0.03162491321563721,60
36,0,0.030790090560913086,60
37,0,0.030694007873535156,60
38,0,0.01935410499572754,60
39,0,0.05810904502868652,60
40,0,0.045802950859069824,60
41,0,0.02040398120880127,60
42,0,0.037593960762023926,60
43,0,0.019483089447021484,60
44,0,0.06679201126098633,60
45,0,0.07199501991271973,60
46,0,0.0691450834274292,60
47,0,0.029477953910827637,60
48,0,0.03291201591491699,60
49,0,0.01629507541656494,60
50,0,0.059655070304870605,60
51,0,0.04933500289916992,60
52,0,0.03517603874206543,60
53,0,0.058181047439575195,60
54,0,0.03826701641082764,60
55,0,0.020300984382629395,60
56,0,0.05592799186706543,60
57,0,0.049435973167419434,60
58,0,0.06724798679351807,60
59,0,0.06623494625091553,60
60,0,0.020573973655700684,60
61,0,0.018606901168823242,60
62,0,0.07064008712768555,60
63,0,0.06229996681213379,60
64,0,0.022850990295410156,60
65,0,0.03609895706176758,60
66,0,0.020578980445861816,60
67,0,0.027683019638061523,60
68,0,0.0511859655380249,60
69,0,0.020412921905517578,60
70,0,0.020871996879577637,60
71,0,0.03207695484161377,60
72,0,0.018513917922973633,60
73,0,0.07972002029418945,60
74,0,0.022939085960388184,60
75,0,0.058457016944885254,60
76,0,0.01989901065826416,60
77,0,0.021556973457336426,60
78,0,0.020408034324645996,60
79,0,0.030012011528015137,60
80,0,0.06176400184631348,60
81,0,0.052362918853759766,60
82,0,0.02809596061706543,60
83,0,0.02183091640472412,60
84,0,0.036666035652160645,60
85,0,0.027181029319763184,60
86,0,0.014943957328796387,60
87,0,0.03713405132293701,60
88,0,0.06718897819519043,60
89,0,0.042855024337768555,60
90,0,0.06108403205871582,60
91,0,0.01829707622528076,60
92,0,0.06290209293365479,60
93,0,0.025627970695495605,60
94,0,0.04703700542449951,60
95,0,0.04661595821380615,60
96,0,0.016363978385925293,60
97,0,0.02546095848083496,60
98,0,0.060768961906433105,60
99,0,0.018191099166870117,60
100,0,0.026365995407104492,60
101,0,0.04087698459625244,60
102,0,0.026787996292114258,60
103,0,0.06796705722808838,60
104,0,0.02473902702331543,60
105,0,0.02360403537750244,60
106,0,0.028483986854553223,60
107,0,0.020434975624084473,60
108,0,0.03185606002807617,60
109,0,0.017962098121643066,60
110,0,0.07957994937896729,60
111,0,0.03994297981262207,60
112,0,0.0203859806060791,60
113,0,0.05328202247619629,60
114,0,0.029634952545166016,60
115,0,0.018739938735961914,60
116,0,0.07033002376556396,60
117,0,0.05541396141052246,60
118,0,0.056989073753356934,60
119,0,0.03127396106719971,60
120,0,0.018043994903564453,60
121,0,0.017813920974731445,60
122,0,0.06968390941619873,60
123,0,0.05397200584411621,60
124,0,0.02795398235321045,60
125,0,0.058308959007263184,60
126,0,0.018260955810546875,60
