GAME,WINNER,TIME,random,random,random
142,0,0.1925290822982788,39,27,24
143,0,0.19441092014312744,37,18,27
144,0,0.24185395240783691,42,27,25
145,0,0.19670796394348145,42,25,22
146,0,0.220505952835083,38,26,22
147,0,0.18111896514892578,37,25,25
148,1,0.19956600666046143,23,41,22
149,0,0.1958249807357788,37,25,25
150,2,0.19505703449249268,23,23,40
151,1,0.20626401901245117,26,40,27
152,2,0.21593797206878662,25,23,41
153,1,0.24709999561309814,37,39,17
154,1,0.21556305885314941,29,39,18
155,0,0.20236194133758545,37,26,24
156,0,0.1944570541381836,41,24,27
157,0,0.23114097118377686,40,26,27
158,1,0.2320500612258911,25,39,24
159,1,0.1643749475479126,19,40,23
160,0,0.21277093887329102,40,25,25
161,1,0.19197499752044678,25,40,18
162,2,0.18746602535247803,23,25,38
163,1,0.20161008834838867,31,38,24
164,2,0.23521006107330322,23,26,41
165,2,0.23734498023986816,29,21,39
166,0,0.19685006141662598,40,21,21
167,2,0.189039945602417,26,24,39
168,1,0.20397508144378662,26,41,22
169,0,0.21980702877044678,43,28,26
170,2,0.19753098487854004,25,23,41
171,0,0.25530898571014404,40,24,23
172,1,0.20981895923614502,25,39,22
173,0,0.19580698013305664,38,21,23
174,2,0.22610902786254883,21,23,44
175,0,0.2315000295639038,39,27,27
176,1,0.24345195293426514,27,40,30
177,1,0.2157820463180542,27,38,24
178,0,0.21019291877746582,42,24,20
179,0,0.1729729175567627,37,26,19
180,2,0.1637558937072754,26,20,37
181,0,0.21690809726715088,39,28,27
182,2,0.19828903675079346,27,24,39
183,1,0.19284093379974365,40,41,25
184,1,0.2758979797363281,22,40,31
185,1,0.25001299381256104,25,42,23
186,1,0.26836395263671875,34,44,28
187,2,0.20278394222259521,29,25,42
188,1,0.18461096286773682,21,39,26
189,1,0.186365008354187,24,42,20
190,0,0.19891202449798584,40,23,26
191,0,0.18703603744506836,38,27,20
192,1,0.19160795211791992,25,41,24
193,0,0.21192693710327148,40,23,27
194,1,0.18720495700836182,21,42,23
195,0,0.22221899032592773,43,28,25
196,1,0.26928091049194336,24,38,22
197,0,0.2364180088043213,40,28,29
198,2,0.20040106773376465,35,26,39
199,1,0.17322003841400146,22,39,22
200,2,0.18146193027496338,22,27,37
201,1,0.20584797859191895,29,44,26
202,2,0.21700501441955566,24,25,41
203,0,0.16007792949676514,38,19,21
204,2,0.18036305904388428,20,25,36
205,2,0.21021604537963867,21,20,42
206,2,0.203652024269104,27,28,39
207,0,0.19803905487060547,40,27,21
208,0,0.19131898880004883,36,26,26
209,1,0.18745195865631104,22,37,20
210,2,0.16763293743133545,23,20,37
211,2,0.19702494144439697,25,20,38
212,1,0.29883909225463867,23,40,27
213,1,0.21380090713500977,20,36,24
214,0,0.2478959560394287,44,27,42
215,2,0.2053370475769043,29,24,39
216,0,0.1914759874343872,40,26,21
217,1,0.1996709108352661,24,38,27
218,0,0.20813000202178955,37,19,20
219,1,0.25394606590270996,40,42,29
220,0,0.20656108856201172,39,25,26
221,2,0.2087390422821045,25,29,36
222,2,0.19389891624450684,21,18,39
223,0,0.21566498279571533,39,28,21
224,2,0.18751895427703857,23,21,38
225,0,0.2601430416107178,41,27,29
226,1,0.2108370065689087,23,38,26
227,0,0.21495699882507324,37,29,22
228,0,0.22301089763641357,40,21,21
229,1,0.22222900390625,24,39,19
230,1,0.2099970579147339,22,37,31
231,1,0.2502220869064331,23,41,26
232,0,0.296191930770874,38,17,27
233,0,0.25127696990966797,39,27,27
234,0,0.21143805980682373,38,21,24
235,0,0.22450101375579834,38,19,24
236,2,0.22704696655273438,22,28,41
237,0,0.2188119888305664,38,24,24
238,1,0.24659907817840576,24,40,25
239,1,0.22585999965667725,21,40,38
240,0,0.21384203433990479,41,29,26
241,1,0.24274003505706787,28,41,31
242,2,0.2395700216293335,29,39,43
243,1,0.2391449213027954,26,39,25
244,0,0.1991729736328125,45,24,24
245,2,0.2149369716644287,25,22,37
246,2,0.315837025642395,28,28,38
247,2,0.23268401622772217,28,29,43
248,1,0.17955505847930908,28,36,25
249,1,0.21119999885559082,22,37,24
250,0,0.24424195289611816,41,27,32
251,0,0.23066401481628418,40,31,32
252,0,0.1740180253982544,36,18,20
253,0,0.22336304187774658,38,25,20
254,2,0.23410391807556152,29,25,36
255,1,0.2270439863204956,26,41,28
256,1,0.20349597930908203,21,40,24
257,0,0.22467899322509766,39,24,28
258,0,0.21429896354675293,37,22,25
259,2,0.2188279628753662,23,27,36
260,2,0.21408402919769287,30,25,39
261,0,0.21399199962615967,41,23,29
262,2,0.21038508415222168,21,22,40
263,1,0.23655200004577637,21,40,26
264,1,0.23392093181610107,26,38,22
265,1,0.20092403888702393,23,40,27
266,2,0.21615099906921387,25,27,44
267,0,0.1737610101699829,38,24,26
