GAME,WINNER,TIME,big,big,big,big
116,3,0.32730305194854736,28,35,43,59
117,3,0.21092796325683594,35,21,42,53
118,3,0.17309796810150146,35,35,42,53
119,2,0.16307294368743896,42,43,52,28
120,2,0.1637970209121704,35,35,59,36
121,2,0.37408900260925293,52,35,59,40
122,2,0.17926406860351562,36,35,52,42
123,1,0.2843869924545288,28,59,36,28
124,0,0.23799800872802734,59,29,28,35
125,1,0.23338603973388672,42,53,28,28
126,1,0.3299349546432495,42,53,28,28
127,0,0.5194870233535767,59,43,35,28
128,0,0.14424002170562744,59,28,35,36
129,2,0.3058379888534546,35,28,59,43
130,2,0.11766695976257324,28,42,53,28
131,2,0.22055602073669434,28,35,59,29
132,2,0.7569040060043335,39,52,59,40
133,0,0.20150506496429443,53,35,35,42
134,2,0.21986103057861328,28,35,53,35
135,3,0.1429380178451538,42,21,35,53
136,2,0.5845420360565186,46,43,52,39
137,3,0.15689408779144287,43,35,28,59
138,3,0.5534770488739014,43,28,28,59
139,3,0.45502591133117676,35,35,42,53
140,3,0.3789099454879761,36,35,35,59
141,1,0.17275798320770264,28,59,29,14
142,0,0.43886101245880127,53,28,28,42
143,0,0.18128395080566406,53,35,35,42
144,2,0.15955901145935059,28,35,59,43
145,0,0.4386180639266968,52,43,42,35
146,0,0.35070693492889404,52,28,42,29
147,1,0.15622103214263916,42,53,28,28
148,0,0.16377198696136475,59,43,28,35
149,3,0.33924102783203125,36,28,35,59
150,0,0.16759991645812988,52,35,42,43
151,0,0.18989503383636475,53,28,28,42
152,2,0.12544703483581543,28,42,53,35
153,2,0.14124202728271484,28,35,59,43
154,3,0.26904404163360596,42,36,35,52
155,0,0.223410964012146,59,43,28,35
156,0,0.4049440622329712,52,42,36,35
157,3,0.16604697704315186,35,35,42,53
158,2,0.20644903182983398,35,35,53,42
159,3,0.17427301406860352,28,42,43,52
160,3,0.1404719352722168,28,28,42,53
161,1,0.13299894332885742,42,53,28,28
162,1,0.3252689838409424,42,53,35,35
163,1,0.20471203327178955,28,59,43,35
164,2,0.14984595775604248,35,35,59,43
165,0,0.24607408046722412,59,36,52,35
166,0,0.45747900009155273,59,36,28,35
167,3,0.1282869577407837,35,28,42,53
168,1,0.313412070274353,42,53,35,35
169,1,0.20208394527435303,35,59,36,21
170,2,0.38168203830718994,39,39,59,43
171,0,0.2739349603652954,53,28,28,42
172,0,0.18380498886108398,59,36,52,28
173,0,0.3212130069732666,59,36,35,35
174,2,0.29636192321777344,28,35,53,35
175,1,0.3533329963684082,28,59,43,35
176,2,0.5122230052947998,39,52,59,54
177,0,0.16209900379180908,59,43,35,28
178,2,0.16957902908325195,35,49,57,35
179,0,0.1662670373916626,52,42,43,28
180,2,0.18895792961120605,35,42,53,35
181,0,0.32225799560546875,59,43,28,35
182,0,0.5510660409927368,57,39,42,46
183,3,0.1328589916229248,43,21,35,59
184,2,0.3327599763870239,28,35,59,43
185,0,0.3067089319229126,52,52,42,29
186,3,0.18441295623779297,36,21,35,59
187,1,0.20846199989318848,28,52,43,42
188,2,0.22250103950500488,36,35,52,42
189,3,0.19635796546936035,43,28,35,59
190,1,0.2236100435256958,35,59,36,35
191,1,0.30876803398132324,52,59,21,29
192,2,0.14543700218200684,35,28,59,43
193,1,0.20163798332214355,52,59,29,35
194,0,0.18211400508880615,59,43,35,28
195,0,0.2806318998336792,59,36,35,35
196,0,0.1356140375137329,59,36,21,35
197,0,0.1079859733581543,59,29,21,21
198,1,0.30608606338500977,52,59,43,32
199,1,0.1675419807434082,42,53,28,28
200,0,0.3008660078048706,59,40,52,39
201,0,0.19218897819519043,52,35,42,36
202,1,0.404913067817688,35,59,36,35
203,3,0.1207190752029419,28,28,42,53
204,2,0.13783597946166992,21,42,53,35
205,1,0.198172926902771,36,52,35,42
206,0,0.16653597354888916,59,43,35,35
207,0,0.2276899814605713,59,29,28,35
208,2,0.1706329584121704,28,28,59,36
209,3,0.3264559507369995,28,43,21,59
210,3,0.1575409173965454,36,28,28,59
211,0,0.4649159908294678,52,35,42,43
212,0,0.19898498058319092,59,43,35,35
213,0,0.16108310222625732,59,36,28,28
214,3,0.23586797714233398,43,35,35,59
215,3,0.17428600788116455,21,35,43,52
216,1,0.18829596042633057,52,59,40,35
217,0,0.1459430456161499,53,28,28,42
218,3,0.1619420051574707,43,35,28,59
219,3,0.3020230531692505,36,35,35,59
220,2,0.16180098056793213,28,42,53,28
221,0,0.1604599952697754,52,21,42,36
222,1,0.16827499866485596,28,59,43,35
223,3,0.3958050012588501,54,52,39,59
224,1,0.26367008686065674,42,53,35,21
225,3,0.25216197967529297,43,28,35,59
226,3,0.40641307830810547,43,35,28,59
227,1,0.323665976524353,35,59,43,28
228,0,0.17044591903686523,59,36,28,28
229,3,0.424496054649353,43,28,35,59
230,0,0.15763401985168457,53,28,28,42
231,1,0.6263231039047241,35,52,42,43
232,0,0.1564580202102661,59,43,35,28
233,2,0.28588807582855225,42,40,52,52
234,3,0.15197408199310303,43,35,28,59
235,2,0.17099499702453613,42,28,53,21
236,0,0.1905369758605957,59,43,28,35
237,0,0.11851203441619873,59,36,14,21
238,0,0.14685893058776855,53,28,42,35
239,3,0.21527397632598877,42,43,35,52
240,1,0.23020696640014648,49,57,39,39
241,3,0.17280900478363037,43,35,35,59
242,3,0.16925203800201416,43,35,28,59
243,0,0.4265049695968628,59,36,28,28
244,2,0.40973997116088867,28,43,59,35
245,2,0.32030391693115234,35,35,59,36
246,0,0.3433570861816406,59,43,28,52
247,2,0.177839994430542,52,28,59,36
248,3,0.1566840410232544,43,35,28,59
249,2,0.4188169240951538,42,49,57,28
250,2,0.16886305809020996,28,42,53,28
251,0,0.1666320562362671,59,43,35,28
252,2,0.1514800786972046,28,28,59,43
253,0,0.1610809564590454,59,43,28,35
254,1,0.19459009170532227,52,59,36,28
255,1,0.13386499881744385,28,59,36,21
256,0,0.11517798900604248,59,29,21,21
257,2,0.14211809635162354,21,42,53,35
258,0,0.18560898303985596,52,35,36,52
259,1,0.14731693267822266,43,59,28,35
260,1,0.2268160581588745,52,59,43,21
261,3,0.1451129913330078,35,35,42,53
262,0,0.32652997970581055,52,42,29,28
263,3,0.3723490238189697,36,52,28,59
264,1,0.17971205711364746,42,53,28,28
265,0,0.39849305152893066,59,43,35,35
266,2,0.18101000785827637,35,42,53,35
267,1,0.20175790786743164,28,53,42,28
268,2,0.28232598304748535,35,42,53,35
269,3,0.1450190544128418,36,35,21,59
270,1,0.18101704120635986,35,59,43,28
271,3,0.3866450786590576,52,40,35,59
272,1,0.32988810539245605,52,59,43,28
273,0,0.15513110160827637,59,29,28,21
274,1,0.18420803546905518,21,59,36,35
275,1,0.34334099292755127,42,53,28,28
276,3,0.15040898323059082,36,52,28,59
277,1,0.1939680576324463,35,59,43,35
278,2,0.22171401977539062,42,36,52,35
279,0,0.4045290946960449,59,43,32,52
280,0,0.5995349884033203,57,42,39,46
281,0,0.1263819932937622,53,28,28,42
282,2,0.1540679931640625,21,35,59,43
283,1,0.15669405460357666,28,59,36,28
284,0,0.14934706687927246,59,36,28,28
285,2,0.2273329496383667,28,35,59,29
286,3,0.262099027633667,35,36,35,59
287,1,0.16489696502685547,42,53,28,28
288,1,0.4743809700012207,35,59,43,28
