# MCTS: [] []
# PLAYERS: [MCTS_TicketToRide.PlayerType.big, MCTS_TicketToRide.PlayerType.big, MCTS_TicketToRide.PlayerType.big]
GAME,WINNER,TIME,big,big,big
120,0,0.1578739881515503,59,43,28
121,1,0.09904396533966064,42,53,28
122,1,0.09314000606536865,28,59,43
123,2,0.09178900718688965,43,28,59
124,2,0.10712003707885742,35,42,53
125,1,0.09375905990600586,28,59,43
126,2,0.08549392223358154,43,28,59
127,0,0.10772705078125,59,36,35
128,1,0.07605195045471191,28,59,36
129,2,0.08476006984710693,35,42,53
130,2,0.10087001323699951,43,28,59
131,1,0.0898810625076294,35,59,36
132,2,0.09343492984771729,35,42,53
133,0,0.09604406356811523,53,35,42
134,0,0.10144901275634766,59,36,28
135,0,0.09097409248352051,59,36,35
136,2,0.08836698532104492,35,42,53
137,2,0.14420795440673828,36,35,59
138,0,0.07960295677185059,59,43,28
139,1,0.08892297744750977,35,59,36
140,2,0.1076580286026001,43,28,59
141,1,0.16080701351165771,35,59,36
142,2,0.10222196578979492,43,35,59
143,1,0.141806960105896,28,59,36
144,1,0.08768808841705322,28,59,43
145,0,0.09054994583129883,59,36,35
146,2,0.1077040433883667,43,52,59
147,2,0.07739794254302979,36,35,59
148,1,0.1834239959716797,52,59,43
149,1,0.09431600570678711,35,59,36
150,2,0.11351001262664795,36,35,59
151,2,0.3351449966430664,43,28,59
152,1,0.11753404140472412,42,53,35
153,0,0.14480793476104736,53,35,42
154,1,0.17968404293060303,42,53,35
155,2,0.13610899448394775,35,42,53
156,0,0.14441001415252686,52,42,43
157,2,0.24989688396453857,36,35,59
158,0,0.12717998027801514,59,43,28
159,0,0.312391996383667,59,43,28
160,0,0.1085740327835083,53,35,42
161,2,0.09348106384277344,35,42,53
162,0,0.14050304889678955,59,43,35
163,0,0.20339906215667725,53,42,35
164,0,0.13244497776031494,59,43,35
165,2,0.15099799633026123,35,42,53
166,1,0.09487795829772949,35,59,36
167,0,0.10828804969787598,59,36,35
168,1,0.08943593502044678,35,59,36
169,0,0.10578405857086182,59,36,35
170,0,0.08129405975341797,59,43,28
171,2,0.1449810266494751,35,42,53
172,2,0.10374808311462402,43,28,59
173,2,0.23570501804351807,28,42,53
174,0,0.0816650390625,59,36,35
175,1,0.08057498931884766,35,59,36
176,0,0.09230494499206543,59,36,35
177,2,0.13876700401306152,36,35,59
178,1,0.1931990385055542,35,59,36
179,0,0.0931159257888794,59,36,35
180,2,0.08665204048156738,43,35,59
181,0,0.10612690448760986,59,36,28
182,0,0.1133120059967041,59,36,35
183,1,0.08498096466064453,35,59,36
184,0,0.08318090438842773,59,36,35
185,0,0.09617900848388672,59,43,35
186,0,0.09260106086730957,53,35,42
187,2,0.08764398097991943,36,35,59
188,2,0.09895408153533936,35,42,53
189,0,0.09093201160430908,53,35,42
190,0,0.08443200588226318,59,43,28
191,0,0.2106170654296875,59,36,35
192,1,0.08608794212341309,42,53,35
193,1,0.14372706413269043,42,53,35
194,1,0.19819796085357666,35,53,42
195,1,0.18713295459747314,43,52,42
196,1,0.15656793117523193,28,59,43
197,0,0.08416390419006348,59,43,28
198,0,0.08000004291534424,59,36,35
199,0,0.13278591632843018,53,35,42
200,0,0.10923099517822266,59,43,35
201,1,0.08719706535339355,35,59,36
202,2,0.10084700584411621,35,42,53
203,1,0.09535694122314453,28,59,43
204,2,0.10481703281402588,43,35,59
205,0,0.12159204483032227,59,36,28
206,2,0.07757806777954102,36,28,59
207,2,0.1310340166091919,43,35,59
208,0,0.08013904094696045,59,36,28
209,1,0.22048592567443848,42,53,28
210,1,0.09235799312591553,28,59,43
211,0,0.17251992225646973,59,36,35
212,1,0.14798903465270996,52,59,43
213,2,0.10599803924560547,36,35,59
214,2,0.09575009346008301,28,42,53
215,1,0.15835201740264893,35,59,36
216,0,0.11471307277679443,52,42,36
217,0,0.09435594081878662,59,36,35
218,0,0.09286308288574219,59,36,35
219,0,0.09183394908905029,59,29,28
220,2,0.09157800674438477,43,28,59
221,0,0.12253296375274658,59,36,35
222,1,0.1541130542755127,35,59,36
223,2,0.10681295394897461,36,35,59
224,1,0.10531294345855713,28,59,43
225,0,0.08688807487487793,60,28,35
226,0,0.08358299732208252,53,28,42
227,0,0.09324097633361816,53,35,42
228,0,0.10475099086761475,59,43,28
229,0,0.12296295166015625,59,43,28
230,1,0.12466096878051758,35,59,36
231,1,0.2650339603424072,35,59,43
232,0,0.13789594173431396,53,28,42
233,1,0.16649997234344482,35,59,36
234,0,0.09865701198577881,59,36,21
235,2,0.19095003604888916,28,42,53
236,0,0.10819196701049805,59,29,28
237,0,0.10911095142364502,59,36,35
238,1,0.24298906326293945,43,52,35
239,1,0.09495890140533447,35,59,36
240,1,0.10165596008300781,35,59,36
241,0,0.14066696166992188,59,43,28
242,2,0.11135506629943848,43,28,59
243,2,0.11493301391601562,35,42,53
244,2,0.13630497455596924,35,42,53
245,2,0.11804008483886719,36,35,59
246,0,0.14578402042388916,59,36,28
247,0,0.07301092147827148,59,43,35
248,1,0.12826597690582275,42,53,28
249,0,0.25252997875213623,59,43,35
250,2,0.11443197727203369,43,28,59
251,2,0.10805797576904297,35,42,53
252,0,0.08663702011108398,59,36,35
253,0,0.15769100189208984,59,43,28
254,0,0.14794707298278809,53,35,42
255,0,0.09676098823547363,59,36,28
256,2,0.10417890548706055,35,42,53
257,2,0.10409295558929443,36,35,59
258,0,0.1735689640045166,59,43,35
259,2,0.16135597229003906,43,52,59
260,0,0.10919606685638428,53,35,42
261,2,0.07102596759796143,35,14,53
262,1,0.10705697536468506,28,59,43
263,0,0.1110450029373169,59,43,35
