# MCTS: [] []
# PLAYERS: [MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.random]
GAME,WINNER,TIME,random,random,random,random,random
289,0,0.5014560222625732,42,24,23,19,30
290,4,0.5750969648361206,32,31,27,32,44
291,0,0.510699987411499,46,34,32,30,27
292,0,0.4694720506668091,44,26,20,16,25
293,4,0.4857240915298462,31,26,26,28,44
294,2,0.4727649688720703,42,21,43,24,18
295,0,0.5526409149169922,47,25,27,27,33
296,0,0.4303940534591675,42,23,30,19,24
297,3,0.4525470733642578,26,16,21,41,20
298,0,0.411702036857605,44,23,22,41,41
299,3,0.41889703273773193,25,22,21,42,14
300,4,0.47018706798553467,26,34,27,20,45
301,0,0.5770909786224365,42,19,24,23,30
302,3,0.5636560916900635,28,24,25,45,40
303,3,0.4705009460449219,26,24,24,42,25
304,1,0.39048802852630615,18,41,18,17,23
305,2,0.5944550037384033,24,27,44,27,26
306,2,0.42860496044158936,23,22,40,24,10
307,2,0.5250658988952637,22,27,44,20,21
308,0,0.45171892642974854,47,27,29,31,21
309,3,0.5964299440383911,30,19,23,42,20
310,1,0.5622470378875732,32,46,30,32,22
311,2,0.5456429719924927,34,22,45,28,30
312,2,0.44237494468688965,21,26,37,28,26
313,0,0.46060895919799805,41,28,25,27,27
314,1,0.4419670104980469,18,43,15,19,18
315,3,0.5093189477920532,26,31,25,42,27
316,3,0.5128929615020752,27,15,25,41,30
317,0,0.5066269636154175,44,28,30,26,30
318,3,0.46956098079681396,24,27,27,42,25
319,0,0.5091260671615601,42,31,30,42,20
320,0,0.44578301906585693,39,28,25,29,20
321,1,0.4412010908126831,23,42,28,23,28
322,0,0.46708691120147705,44,25,22,23,24
323,3,0.4803760051727295,29,23,22,45,26
324,2,0.5187619924545288,31,33,43,24,28
325,0,0.4567960500717163,44,27,28,33,25
326,1,0.5296930074691772,24,48,19,23,31
327,2,0.5112199783325195,30,34,46,30,25
328,0,0.49566900730133057,44,17,22,24,24
329,0,0.46872103214263916,41,24,26,22,28
330,2,0.4889249801635742,29,30,44,21,21
331,1,0.5724799633026123,29,45,21,26,27
332,2,0.5770870447158813,28,28,45,32,26
333,3,0.605262041091919,23,22,30,41,25
334,2,0.6081050634384155,23,28,43,33,28
335,2,0.4467250108718872,28,29,42,19,23
336,2,0.5287109613418579,35,26,47,28,29
337,2,0.5315380096435547,22,27,44,18,20
338,3,0.48148298263549805,21,24,28,42,29
339,2,0.46154797077178955,28,23,43,16,21
340,4,0.6836620569229126,28,32,45,31,47
341,1,0.4811129570007324,29,44,32,44,30
342,2,0.5390530824661255,31,31,41,19,30
343,1,0.47769200801849365,21,43,27,43,31
344,4,0.5195080041885376,23,25,31,24,42
345,1,0.4984419345855713,27,42,26,17,25
346,1,0.5086220502853394,25,46,25,28,28
347,3,0.49355995655059814,23,26,24,47,25
348,4,0.589168906211853,30,29,24,30,45
349,1,0.474153995513916,23,44,27,22,29
350,0,0.47241008281707764,46,32,24,27,26
351,3,0.48603999614715576,18,29,21,43,20
352,2,0.4950590133666992,25,25,39,23,22
353,4,0.4726860523223877,17,20,29,32,47
354,4,0.5646039247512817,33,27,31,33,48
355,3,0.3908710479736328,20,21,19,41,23
356,0,0.5013929605484009,43,27,27,25,40
357,1,0.4369239807128906,28,45,19,23,19
358,0,0.4155759811401367,42,27,15,24,26
359,4,0.3562040328979492,24,26,18,27,41
360,4,0.4667309522628784,30,18,24,27,39
361,0,0.45652294158935547,42,29,25,31,24
362,0,0.5260930061340332,43,28,33,32,30
363,3,0.5140089988708496,22,44,29,47,27
364,4,0.5457170009613037,44,45,27,46,48
365,2,0.47449707984924316,42,25,43,27,41
366,2,0.5217729806900024,28,28,43,26,27
367,4,0.4407540559768677,24,30,24,30,40
368,3,0.41618096828460693,25,21,15,40,23
369,0,0.45750296115875244,42,23,29,30,23
370,3,0.5072940587997437,20,29,22,42,32
371,0,0.48192107677459717,41,24,30,28,25
372,4,0.42744505405426025,28,24,25,20,41
373,1,0.3795989751815796,19,39,22,19,24
374,0,0.47333598136901855,42,22,27,30,27
375,2,0.4283970594406128,27,24,41,21,28
376,2,0.5167989730834961,27,27,39,28,31
377,2,0.5379009246826172,25,25,44,26,25
378,0,0.53153395652771,45,32,28,20,44
379,4,0.44052302837371826,21,20,27,18,41
380,3,0.4067249298095703,27,23,26,40,28
381,0,0.5639259815216064,47,28,32,25,47
382,1,0.5065419673919678,31,44,28,27,28
383,1,0.49322497844696045,20,39,26,30,23
384,1,0.43833398818969727,29,42,31,21,18
385,4,0.5021910667419434,30,25,21,18,47
386,2,0.41717398166656494,20,17,42,20,25
387,3,0.5136590003967285,27,44,28,45,24
388,4,0.4998779296875,28,26,16,29,46
389,0,0.3843250274658203,41,23,23,25,18
390,3,0.46848809719085693,30,28,41,43,27
391,4,0.4692949056625366,34,21,16,24,45
392,3,0.503466010093689,25,27,19,47,34
393,1,0.4635850191116333,29,44,25,23,27
394,1,0.48128700256347656,29,39,25,19,26
395,1,0.4215359687805176,20,43,29,19,19
396,3,0.5246700048446655,39,25,29,42,27
397,0,0.40746092796325684,43,22,31,23,24
398,1,0.38403403759002686,30,41,23,13,20
399,0,0.39040303230285645,43,20,28,28,23
400,0,0.5419409275054932,42,28,24,21,23
401,2,0.4238220453262329,20,28,40,21,22
402,2,0.5223619937896729,30,24,45,27,22
403,1,0.49418699741363525,29,40,27,25,24
404,2,0.3883800506591797,21,26,43,24,21
405,0,0.3774600028991699,39,23,19,17,19
406,4,0.4583320617675781,28,31,28,29,42
407,2,0.45964694023132324,27,28,41,29,27
408,4,0.4642740488052368,20,30,28,21,39
409,0,0.4721810817718506,45,27,26,31,19
410,1,0.43216001987457275,25,42,26,24,28
411,4,0.41779208183288574,27,28,24,28,44
412,4,0.4828009605407715,30,30,25,27,43
413,4,0.5167219638824463,27,28,42,28,44
414,1,0.45827507972717285,26,42,31,25,30
415,0,0.45358502864837646,45,28,17,27,31
416,0,0.5002110004425049,47,31,22,21,34
417,3,0.5249359607696533,28,40,26,43,42
418,0,0.4389369487762451,43,19,24,21,26
419,4,0.5234650373458862,23,31,30,31,44
420,3,0.5067410469055176,44,25,30,45,25
421,4,0.6024099588394165,33,24,29,25,48
422,2,0.5327199697494507,29,23,47,17,32
423,4,0.5198370218276978,27,28,28,23,46
424,3,0.452455997467041,28,22,19,38,17
425,2,0.45393097400665283,27,21,42,25,30
426,0,0.4777179956436157,41,25,28,25,26
427,2,0.495339035987854,28,28,44,27,28
428,4,0.48532402515411377,24,25,21,20,41
429,4,0.5036740303039551,18,32,24,27,44
430,0,0.5150600671768188,45,44,28,27,28
431,4,0.43351900577545166,17,18,15,20,47
432,2,0.43578600883483887,23,26,41,30,24
433,3,0.486050009727478,18,23,27,44,26
434,2,0.3930470943450928,28,18,42,20,29
435,0,0.5392739772796631,43,30,25,27,27
436,0,0.42519497871398926,47,19,19,19,30
437,4,0.45961904525756836,18,24,21,25,43
438,3,0.37607502937316895,20,18,21,44,13
439,4,0.5619210004806519,34,31,25,30,46
440,4,0.454914927482605,25,23,24,31,42
441,4,0.5033279657363892,25,29,33,23,45
442,1,0.5310049057006836,24,43,25,28,25
443,2,0.4026550054550171,23,19,42,30,30
444,2,0.6346620321273804,31,31,47,34,37
445,2,0.4740849733352661,21,31,42,23,27
446,3,0.4680830240249634,22,28,28,43,31
447,1,0.47356998920440674,24,42,23,18,24
448,2,0.4702340364456177,27,25,45,27,28
449,2,0.5329660177230835,25,28,43,28,21
450,4,0.46417105197906494,23,25,25,23,42
451,2,0.42972898483276367,21,23,45,23,29
452,1,0.510017991065979,25,43,28,28,28
453,2,0.42925500869750977,25,32,44,27,20
454,3,0.47331690788269043,28,31,23,47,23
455,2,0.439365029335022,27,19,42,27,23
456,4,0.43708908557891846,21,23,28,27,42
457,0,0.5798380374908447,45,30,29,23,32
458,2,0.4974379539489746,34,25,47,26,27
459,2,0.4446300268173218,23,16,42,30,27
460,4,0.4710959196090698,28,23,43,33,45
461,3,0.6002180576324463,30,32,30,47,27
462,1,0.39409101009368896,24,39,25,20,23
463,1,0.5252770185470581,25,43,25,19,26
464,4,0.44191300868988037,19,22,27,21,42
465,2,0.47400903701782227,30,22,47,25,31
466,1,0.4732959270477295,21,45,26,21,25
467,0,0.4290710687637329,43,28,21,21,21
468,4,0.506492018699646,30,20,30,23,42
469,1,0.45238304138183594,28,43,27,18,25
470,0,0.46892809867858887,42,17,17,28,27
471,0,0.5171149969100952,49,35,45,32,28
472,1,0.5115339756011963,27,44,22,22,30
473,2,0.41201603412628174,26,26,45,23,17
474,0,0.4928029775619507,46,33,28,27,28
475,4,0.5154199600219727,24,27,23,24,40
476,3,0.6057449579238892,32,26,28,48,32
477,1,0.4722050428390503,23,46,24,25,20
478,2,0.39446699619293213,21,24,43,19,23
479,0,0.5148880481719971,41,27,20,30,23
480,3,0.5607990026473999,28,28,26,42,28
481,2,0.5031930208206177,25,27,45,44,21
482,1,0.4271339178085327,18,39,30,19,21
483,2,0.44337308406829834,22,23,43,25,24
484,1,0.3743029832839966,27,39,20,18,29
485,2,0.42479491233825684,21,28,43,21,21
486,3,0.5168490409851074,46,16,34,49,31
487,1,0.5450549125671387,28,41,22,30,24
488,0,0.5765210390090942,45,22,25,30,30
489,1,0.40714406967163086,24,42,18,27,26
490,2,0.4276319742202759,16,23,39,19,20
491,1,0.4306429624557495,24,43,20,30,24
492,0,0.3744850158691406,39,17,24,12,18
493,1,0.4403870105743408,28,41,27,26,32
494,4,0.4322390556335449,22,23,25,24,44
495,2,0.444923996925354,22,24,44,23,21
496,1,0.4173159599304199,23,41,20,25,25
497,0,0.47176694869995117,42,18,28,20,23
498,0,0.45979106426239014,42,31,28,20,20
499,3,0.49126994609832764,29,27,28,46,28
500,2,0.4021390676498413,21,18,42,17,19
501,4,0.42162907123565674,24,25,27,18,44
502,4,0.44751596450805664,22,20,21,22,46
503,3,0.48107707500457764,32,41,27,43,33
504,3,0.4951239824295044,27,29,42,44,20
505,1,0.35682201385498047,22,42,25,14,23
506,0,0.4792839288711548,41,27,25,21,24
507,1,0.4593949317932129,26,48,28,30,23
508,0,0.5604369640350342,47,29,35,35,34
509,3,0.40393996238708496,29,20,29,43,23
510,1,0.449429988861084,27,41,27,18,24
511,4,0.5080549716949463,42,31,33,25,45
512,0,0.47219598293304443,41,19,26,23,29
513,0,0.42380499839782715,41,24,25,24,24
514,3,0.4510279893875122,25,26,25,40,22
515,2,0.40763306617736816,25,21,41,24,19
516,1,0.49898600578308105,27,47,27,22,32
517,3,0.37209105491638184,19,23,27,39,16
518,1,0.4808499813079834,23,44,30,27,34
519,0,0.4215320348739624,42,23,27,19,23
520,0,0.48513996601104736,42,26,26,26,25
521,1,0.47672903537750244,26,48,34,25,26
522,3,0.4794410467147827,21,31,23,39,27
523,2,0.48767197132110596,28,29,44,28,23
524,0,0.4257439374923706,41,14,26,25,21
525,0,0.4525560140609741,42,21,28,24,26
526,2,0.39803898334503174,25,24,43,24,18
527,4,0.5515570640563965,32,34,34,32,44
528,0,0.4341210126876831,43,21,25,29,23
529,3,0.43765199184417725,27,22,23,43,23
530,1,0.5064090490341187,28,43,26,25,30
531,1,0.45525097846984863,30,42,30,28,24
532,4,0.46552395820617676,26,28,23,20,44
533,3,0.38464200496673584,21,23,13,43,25
534,2,0.5262149572372437,27,26,42,22,28
535,2,0.5362949371337891,33,30,46,30,34
536,2,0.45306694507598877,25,19,40,23,27
537,4,0.49671900272369385,28,24,27,24,42
538,0,0.4137589931488037,41,24,23,21,24
539,2,0.44441401958465576,28,23,44,28,22
540,3,0.500717043876648,22,28,24,41,30
541,2,0.45012497901916504,28,25,41,27,24
542,4,0.4684699773788452,28,30,24,22,41
543,2,0.4460979700088501,20,22,42,22,25
544,2,0.48495399951934814,21,25,45,20,30
545,2,0.5475000143051147,44,25,45,28,27
546,2,0.5143669843673706,28,28,41,28,30
547,2,0.4567769765853882,22,30,47,25,31
548,1,0.4350559711456299,30,39,27,21,24
549,2,0.6173330545425415,25,32,47,30,32
550,2,0.49126899242401123,44,29,45,27,23
551,1,0.4472060203552246,19,40,27,22,23
552,2,0.45836901664733887,21,18,43,22,33
553,2,0.4716860055923462,28,21,43,15,33
554,2,0.4727259874343872,28,30,39,30,24
555,0,0.44074296951293945,44,24,28,27,29
556,0,0.4888169765472412,40,30,29,21,25
557,3,0.424576997756958,26,18,23,46,25
558,0,0.4852569103240967,41,28,20,14,28
559,4,0.479417085647583,23,25,27,26,47
560,2,0.42693495750427246,20,28,42,21,27
561,0,0.4567149877548218,42,25,24,30,27
562,2,0.5427130460739136,28,25,42,30,20
563,2,0.4501669406890869,21,28,43,26,23
564,3,0.47311997413635254,23,24,30,44,34
565,2,0.4740840196609497,28,21,41,28,23
566,1,0.4957629442214966,25,45,28,23,30
567,2,0.5359090566635132,25,20,44,27,29
568,1,0.39169394969940186,27,44,24,21,20
569,2,0.5072649717330933,31,33,45,27,30
570,0,0.5439480543136597,47,27,27,30,30
571,3,0.5263890027999878,24,25,27,39,30
572,0,0.4483450651168823,42,23,26,24,23
573,3,0.54413902759552,29,25,30,44,27
574,1,0.5203050374984741,27,45,29,33,45
575,0,0.48617005348205566,43,25,22,25,26
576,3,0.4458949565887451,24,22,26,42,24
577,4,0.4258389472961426,23,26,25,23,40
578,3,0.5131269693374634,23,27,29,41,25
579,0,0.531143069267273,46,32,25,38,28
580,3,0.46187400817871094,24,20,25,44,18
581,2,0.488042950630188,30,42,44,23,43
582,4,0.44173693656921387,23,20,30,25,43
583,3,0.423922061920166,27,22,25,42,25
584,3,0.4133329391479492,26,24,25,47,21
