# MCTS: [1000] [1.0]
# PLAYERS: [MCTS_TicketToRide.PlayerType.big, MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.mcts(1000, 0.25)]
GAME,PLAYERS,WINNER,TIME
# MCTS: [1000] [1.0]
# PLAYERS: [MCTS_TicketToRide.PlayerType.big, MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.mcts(1000, 0.25)]
GAME,PLAYERS,WINNER,TIME
0,brrm,3,2515.1894459724426
1,brrm,3,2670.6988639831543
2,brrm,3,2715.578999042511
3,brrm,3,2752.821681022644
4,brrm,3,2743.682828068733
5,brrm,2,2688.697453022003
6,brrm,0,2628.6465830802917
7,brrm,3,2675.8838229179382
8,brrm,3,2575.5567560195923
9,brrm,3,2680.054746031761
10,brrm,1,2702.3371629714966
11,brrm,3,2710.599175095558
12,brrm,3,2697.3423680067062
13,brrm,3,2750.246073961258
14,brrm,3,2789.8304780721664
15,brrm,3,2660.4537559747696
16,brrm,3,2687.0132499933243
17,brrm,3,2656.47480905056
18,brrm,3,2648.787358045578
19,brrm,1,2268.863012075424
