# MCTS: [] []
# PLAYERS: [MCTS_TicketToRide.PlayerType.big, MCTS_TicketToRide.PlayerType.big]
GAME,PLAYERS,WINNER,TIME
90,bb,1,0.02914607524871826
91,bb,1,0.024394989013671875
92,bb,1,0.02719700336456299
93,bb,1,0.025474071502685547
94,bb,1,0.031094074249267578
95,bb,0,0.03158390522003174
96,bb,1,0.015569090843200684
97,bb,1,0.022270917892456055
98,bb,0,0.025164008140563965
99,bb,1,0.02609705924987793
100,bb,1,0.028176069259643555
101,bb,1,0.03186202049255371
102,bb,1,0.032228946685791016
103,bb,1,0.03177297115325928
104,bb,0,0.02739107608795166
105,bb,0,0.03096604347229004
106,bb,1,0.04316091537475586
107,bb,1,0.03533494472503662
108,bb,1,0.0325319766998291
109,bb,1,0.03161907196044922
110,bb,0,0.034494996070861816
111,bb,1,0.03117191791534424
112,bb,1,0.029694080352783203
113,bb,1,0.029896974563598633
114,bb,0,0.028586983680725098
115,bb,0,0.02923405170440674
116,bb,1,0.08551609516143799
117,bb,1,0.03374505043029785
118,bb,0,0.031018972396850586
119,bb,1,0.0350949764251709
120,bb,0,0.045234084129333496
121,bb,1,0.032168030738830566
122,bb,1,0.02621603012084961
123,bb,0,0.02927398681640625
124,bb,1,0.02460193634033203
125,bb,0,0.019791007041931152
126,bb,1,0.023029088973999023
127,bb,0,0.025936007499694824
128,bb,1,0.0290910005569458
129,bb,0,0.026388049125671387
130,bb,0,0.04219698905944824
131,bb,0,0.04410600662231445
132,bb,0,0.023501038551330566
133,bb,1,0.02138996124267578
134,bb,0,0.02667701244354248
135,bb,0,0.022437095642089844
136,bb,0,0.0260159969329834
137,bb,1,0.02655196189880371
138,bb,0,0.025345921516418457
139,bb,0,0.023393988609313965
140,bb,1,0.022626042366027832
141,bb,0,0.02053999900817871
142,bb,0,0.026942014694213867
143,bb,0,0.05233907699584961
144,bb,1,0.025656938552856445
145,bb,0,0.025892019271850586
146,bb,1,0.03904092311859131
147,bb,1,0.024660944938659668
148,bb,1,0.02700209617614746
149,bb,1,0.02501499652862549
150,bb,0,0.024457931518554688
151,bb,1,0.02341902256011963
152,bb,1,0.025639057159423828
153,bb,0,0.03283405303955078
154,bb,0,0.026412010192871094
155,bb,1,0.02400803565979004
156,bb,1,0.025251030921936035
157,bb,1,0.02612292766571045
158,bb,0,0.024455904960632324
159,bb,1,0.026968002319335938
160,bb,1,0.01873600482940674
161,bb,1,0.04255092144012451
162,bb,0,0.026623964309692383
163,bb,0,0.027482986450195312
164,bb,1,0.026481986045837402
165,bb,1,0.024708032608032227
166,bb,0,0.02286696434020996
167,bb,1,0.024255990982055664
168,bb,0,0.02697300910949707
169,bb,0,0.028470993041992188
170,bb,0,0.02644193172454834
171,bb,1,0.024770021438598633
172,bb,1,0.02785801887512207
173,bb,0,0.0272139310836792
174,bb,0,0.0458829402923584
175,bb,1,0.023685932159423828
176,bb,0,0.023679018020629883
177,bb,0,0.0261000394821167
178,bb,0,0.023811936378479004
179,bb,1,0.0499650239944458
180,bb,0,0.04404890537261963
181,bb,1,0.03910398483276367
182,bb,0,0.024688005447387695
183,bb,1,0.02549600601196289
184,bb,0,0.02676093578338623
185,bb,1,0.057600975036621094
186,bb,0,0.03457999229431152
187,bb,0,0.027038931846618652
188,bb,0,0.026630043983459473
189,bb,0,0.024156928062438965
190,bb,0,0.025102972984313965
191,bb,1,0.02381598949432373
192,bb,0,0.026414990425109863
193,bb,1,0.026082992553710938
194,bb,1,0.025143027305603027
195,bb,0,0.025079011917114258
196,bb,1,0.027647972106933594
197,bb,1,0.02502906322479248
198,bb,1,0.029627084732055664
199,bb,0,0.026903986930847168
200,bb,1,0.02662205696105957
201,bb,0,0.02231299877166748
202,bb,0,0.02641606330871582
203,bb,0,0.029165029525756836
204,bb,1,0.023476004600524902
205,bb,0,0.07056105136871338
206,bb,0,0.0247189998626709
207,bb,0,0.029079914093017578
208,bb,0,0.022992968559265137
209,bb,0,0.023792028427124023
210,bb,0,0.022619962692260742
211,bb,0,0.025454998016357422
212,bb,0,0.024763941764831543
213,bb,1,0.030282020568847656
214,bb,1,0.02725398540496826
215,bb,1,0.024580955505371094
216,bb,0,0.026379108428955078
217,bb,0,0.027223944664001465
218,bb,0,0.02619791030883789
219,bb,1,0.03071606159210205
220,bb,1,0.023568034172058105
221,bb,1,0.028049111366271973
222,bb,0,0.023342013359069824
223,bb,0,0.02796792984008789
224,bb,0,0.02562892436981201
225,bb,0,0.03431403636932373
226,bb,1,0.026406049728393555
227,bb,0,0.026973962783813477
228,bb,0,0.023471951484680176
229,bb,1,0.06517899036407471
230,bb,1,0.028347015380859375
231,bb,1,0.022024035453796387
232,bb,0,0.042369961738586426
233,bb,1,0.029359936714172363
234,bb,0,0.024996042251586914
235,bb,1,0.020468950271606445
236,bb,1,0.06358098983764648
237,bb,1,0.022578001022338867
238,bb,1,0.024717092514038086
239,bb,1,0.05166196823120117
240,bb,0,0.02308499813079834
241,bb,1,0.02611100673675537
242,bb,1,0.04295790195465088
243,bb,1,0.02321803569793701
244,bb,1,0.025967001914978027
245,bb,0,0.025834083557128906
246,bb,1,0.0203169584274292
247,bb,0,0.06902992725372314
248,bb,1,0.026724934577941895
249,bb,0,0.03707599639892578
250,bb,0,0.03335297107696533
251,bb,0,0.028310060501098633
252,bb,1,0.04461193084716797
253,bb,0,0.025771021842956543
254,bb,0,0.06964302062988281
255,bb,1,0.046157002449035645
256,bb,0,0.030905961990356445
257,bb,1,0.03381693363189697
258,bb,1,0.030978083610534668
259,bb,1,0.04717898368835449
260,bb,1,0.030610084533691406
261,bb,1,0.04527401924133301
262,bb,1,0.031020045280456543
263,bb,1,0.028865933418273926
264,bb,0,0.03347504138946533
265,bb,0,0.030161023139953613
266,bb,1,0.03210604190826416
267,bb,1,0.028963923454284668
268,bb,0,0.03227996826171875
269,bb,1,0.030511975288391113
270,bb,1,0.03697705268859863
271,bb,1,0.03351795673370361
272,bb,1,0.03528594970703125
273,bb,0,0.03496897220611572
274,bb,1,0.03269493579864502
275,bb,0,0.03468000888824463
276,bb,0,0.07739603519439697
277,bb,1,0.021147966384887695
278,bb,1,0.031388044357299805
279,bb,1,0.03188800811767578
280,bb,0,0.026715993881225586
281,bb,1,0.030237913131713867
282,bb,1,0.024711012840270996
283,bb,0,0.017966032028198242
284,bb,1,0.024351954460144043
285,bb,0,0.022635936737060547
286,bb,1,0.03794503211975098
287,bb,0,0.036326050758361816
288,bb,0,0.023598909378051758
289,bb,1,0.026005983352661133
290,bb,1,0.06294095516204834
291,bb,0,0.02370595932006836
292,bb,0,0.02357304096221924
293,bb,1,0.02296304702758789
294,bb,0,0.02917492389678955
295,bb,0,0.02542400360107422
296,bb,0,0.030115962028503418
297,bb,1,0.027701973915100098
298,bb,1,0.026491999626159668
299,bb,0,0.023671984672546387
300,bb,0,0.026792049407958984
301,bb,0,0.023074030876159668
302,bb,0,0.026407957077026367
303,bb,0,0.026322007179260254
304,bb,1,0.04361999034881592
305,bb,0,0.021686911582946777
306,bb,0,0.027629971504211426
307,bb,1,0.024827957153320312
308,bb,0,0.023264050483703613
309,bb,1,0.026726961135864258
310,bb,0,0.024518966674804688
311,bb,1,0.049414992332458496
312,bb,1,0.02028489112854004
313,bb,0,0.021532058715820312
314,bb,0,0.026097893714904785
315,bb,1,0.05237102508544922
316,bb,1,0.02188897132873535
317,bb,1,0.025115013122558594
318,bb,0,0.02492499351501465
319,bb,1,0.02519392967224121
320,bb,1,0.03817296028137207
321,bb,1,0.02541792392730713
322,bb,0,0.050830960273742676
323,bb,1,0.02723705768585205
324,bb,0,0.03229403495788574
325,bb,0,0.023633956909179688
326,bb,1,0.02766597270965576
327,bb,1,0.044927000999450684
328,bb,1,0.026777982711791992
329,bb,0,0.04112696647644043
330,bb,0,0.02622401714324951
331,bb,1,0.06397008895874023
332,bb,1,0.035122036933898926
333,bb,1,0.02495598793029785
334,bb,1,0.055400967597961426
335,bb,0,0.023738980293273926
336,bb,1,0.04425406455993652
337,bb,1,0.032943010330200195
338,bb,0,0.024469971656799316
339,bb,0,0.024136900901794434
340,bb,0,0.08515691757202148
341,bb,0,0.08486497402191162
342,bb,0,0.024256110191345215
343,bb,1,0.03147101402282715
344,bb,1,0.02333807945251465
345,bb,0,0.027601957321166992
346,bb,1,0.023186087608337402
347,bb,1,0.04584395885467529
348,bb,1,0.025408029556274414
349,bb,0,0.025686025619506836
350,bb,1,0.02722799777984619
351,bb,0,0.06364500522613525
352,bb,0,0.026469111442565918
353,bb,1,0.024670004844665527
354,bb,0,0.046785950660705566
355,bb,0,0.02465200424194336
356,bb,0,0.02540409564971924
357,bb,0,0.03540599346160889
358,bb,1,0.027323007583618164
359,bb,1,0.026247024536132812
360,bb,0,0.02052891254425049
361,bb,0,0.028391003608703613
362,bb,1,0.02610790729522705
363,bb,1,0.026118040084838867
364,bb,1,0.023917078971862793
365,bb,0,0.0221710205078125
366,bb,0,0.024430036544799805
367,bb,1,0.025929927825927734
368,bb,1,0.029265999794006348
369,bb,0,0.023406982421875
370,bb,0,0.026592016220092773
371,bb,1,0.026121973991394043
372,bb,1,0.06391799449920654
373,bb,0,0.025370001792907715
374,bb,1,0.022816061973571777
375,bb,1,0.01995992660522461
376,bb,0,0.025698065757751465
377,bb,1,0.021665096282958984
378,bb,0,0.021300077438354492
379,bb,1,0.05000495910644531
380,bb,1,0.02517092227935791
381,bb,0,0.02894294261932373
382,bb,0,0.027537941932678223
383,bb,1,0.021937012672424316
384,bb,0,0.021517038345336914
385,bb,1,0.025909066200256348
386,bb,1,0.021061062812805176
387,bb,0,0.016396045684814453
388,bb,1,0.02555108070373535
389,bb,1,0.02695906162261963
390,bb,1,0.024177074432373047
391,bb,1,0.02797996997833252
392,bb,1,0.026672005653381348
393,bb,0,0.024791955947875977
394,bb,1,0.026746034622192383
395,bb,0,0.02501094341278076
396,bb,1,0.026620030403137207
397,bb,1,0.02517390251159668
398,bb,1,0.02300393581390381
399,bb,1,0.024815082550048828
400,bb,1,0.02587103843688965
401,bb,1,0.04499804973602295
402,bb,1,0.02504897117614746
403,bb,1,0.0198439359664917
404,bb,0,0.023623943328857422
405,bb,1,0.02803504467010498
406,bb,1,0.028096914291381836
407,bb,0,0.02813899517059326
408,bb,0,0.02754795551300049
409,bb,0,0.026849031448364258
410,bb,0,0.02786099910736084
411,bb,1,0.043547987937927246
412,bb,0,0.06836199760437012
413,bb,1,0.043048977851867676
414,bb,0,0.01943802833557129
415,bb,1,0.024858951568603516
416,bb,1,0.022616028785705566
417,bb,0,0.026806950569152832
418,bb,0,0.025171995162963867
419,bb,0,0.026588916778564453
420,bb,1,0.025559067726135254
421,bb,0,0.02840900421142578
422,bb,1,0.022581100463867188
423,bb,1,0.025278925895690918
424,bb,1,0.023813962936401367
425,bb,1,0.026889920234680176
426,bb,0,0.025870084762573242
427,bb,0,0.027266979217529297
428,bb,1,0.025536060333251953
429,bb,0,0.01832294464111328
430,bb,1,0.022847890853881836
431,bb,1,0.048847079277038574
432,bb,1,0.025436997413635254
433,bb,0,0.024171948432922363
434,bb,0,0.02853405475616455
435,bb,1,0.036006927490234375
436,bb,1,0.02681291103363037
437,bb,1,0.02815699577331543
438,bb,1,0.037580013275146484
439,bb,1,0.025416016578674316
440,bb,0,0.026121973991394043
441,bb,1,0.02358102798461914
442,bb,0,0.024816036224365234
443,bb,1,0.024433016777038574
444,bb,1,0.023324012756347656
445,bb,0,0.023669004440307617
446,bb,0,0.028276920318603516
447,bb,0,0.018463969230651855
448,bb,0,0.023243069648742676
449,bb,1,0.029923081398010254
450,bb,0,0.0200880765914917
451,bb,0,0.023421049118041992
452,bb,1,0.020222902297973633
453,bb,1,0.026559114456176758
454,bb,1,0.029133915901184082
455,bb,0,0.026454925537109375
456,bb,0,0.05099308490753174
457,bb,1,0.02516496181488037
458,bb,1,0.022549033164978027
459,bb,0,0.02223193645477295
460,bb,0,0.024494051933288574
461,bb,0,0.026779890060424805
462,bb,1,0.021292924880981445
463,bb,1,0.02535700798034668
464,bb,1,0.03726005554199219
465,bb,1,0.02216196060180664
466,bb,0,0.025470972061157227
467,bb,1,0.026435017585754395
468,bb,1,0.024613022804260254
469,bb,1,0.02679300308227539
470,bb,1,0.028661012649536133
471,bb,0,0.02737903594970703
472,bb,1,0.025192975997924805
473,bb,0,0.026971101760864258
474,bb,0,0.05324196815490723
475,bb,1,0.026343941688537598
476,bb,1,0.04784691333770752
477,bb,1,0.03114008903503418
478,bb,1,0.026642918586730957
479,bb,0,0.028515934944152832
480,bb,1,0.02503502368927002
481,bb,1,0.04264998435974121
482,bb,0,0.017035961151123047
483,bb,0,0.024546027183532715
484,bb,1,0.02777409553527832
485,bb,0,0.029214024543762207
486,bb,0,0.029092073440551758
487,bb,0,0.03004610538482666
488,bb,0,0.021608948707580566
489,bb,1,0.02623903751373291
490,bb,1,0.026983022689819336
491,bb,1,0.029600024223327637
492,bb,0,0.027268052101135254
493,bb,1,0.025817036628723145
494,bb,1,0.024520039558410645
495,bb,0,0.0248870849609375
496,bb,0,0.03954195976257324
497,bb,1,0.024937987327575684
498,bb,0,0.03595101833343506
499,bb,0,0.03309202194213867
500,bb,0,0.0248110294342041
501,bb,0,0.024268031120300293
502,bb,1,0.022676944732666016
503,bb,1,0.021806001663208008
504,bb,1,0.02505803108215332
505,bb,1,0.030878067016601562
506,bb,0,0.022881031036376953
507,bb,1,0.07628202438354492
508,bb,1,0.02834296226501465
509,bb,1,0.025875091552734375
510,bb,0,0.027839064598083496
511,bb,1,0.02530801296234131
512,bb,0,0.018113017082214355
513,bb,1,0.022695064544677734
514,bb,1,0.021717071533203125
515,bb,1,0.02528703212738037
516,bb,0,0.02574896812438965
517,bb,0,0.024225950241088867
518,bb,1,0.02736496925354004
519,bb,1,0.027065038681030273
520,bb,1,0.03848397731781006
521,bb,0,0.027401089668273926
522,bb,0,0.025956034660339355
523,bb,0,0.04982900619506836
524,bb,0,0.027191996574401855
525,bb,1,0.02809000015258789
526,bb,0,0.0276339054107666
527,bb,1,0.049659013748168945
528,bb,0,0.028590083122253418
529,bb,1,0.06540501117706299
530,bb,1,0.022973060607910156
531,bb,1,0.028161048889160156
532,bb,1,0.02455008029937744
533,bb,1,0.03843498229980469
534,bb,1,0.02788698673248291
535,bb,1,0.0237809419631958
536,bb,0,0.02627396583557129
537,bb,0,0.039891958236694336
538,bb,0,0.026118993759155273
539,bb,1,0.021338939666748047
540,bb,0,0.0233919620513916
541,bb,0,0.024181008338928223
542,bb,1,0.030238986015319824
543,bb,0,0.02494502067565918
544,bb,1,0.02126908302307129
545,bb,1,0.02280402183532715
546,bb,1,0.027173995971679688
547,bb,1,0.020112037658691406
548,bb,1,0.028187990188598633
549,bb,0,0.02736198902130127
550,bb,1,0.027070045471191406
551,bb,0,0.02506101131439209
552,bb,0,0.022687077522277832
553,bb,0,0.02793300151824951
554,bb,0,0.02935504913330078
555,bb,1,0.03397095203399658
556,bb,1,0.022474050521850586
557,bb,1,0.08063602447509766
558,bb,0,0.039306044578552246
559,bb,0,0.02604997158050537
560,bb,0,0.026069998741149902
561,bb,0,0.025676965713500977
562,bb,0,0.025097012519836426
563,bb,1,0.023458003997802734
564,bb,1,0.03126192092895508
565,bb,0,0.022482991218566895
566,bb,1,0.029359936714172363
567,bb,1,0.02009904384613037
568,bb,1,0.0263899564743042
569,bb,0,0.026587963104248047
570,bb,1,0.024132966995239258
571,bb,0,0.030369997024536133
572,bb,0,0.023558974266052246
573,bb,1,0.020074963569641113
574,bb,0,0.023231983184814453
575,bb,1,0.02837395668029785
576,bb,0,0.028934001922607422
577,bb,0,0.030250072479248047
578,bb,0,0.02513408660888672
579,bb,1,0.02804100513458252
580,bb,1,0.03359496593475342
581,bb,1,0.023940086364746094
582,bb,1,0.05520808696746826
583,bb,1,0.0521320104598999
584,bb,0,0.026600956916809082
585,bb,0,0.025388002395629883
586,bb,0,0.028583049774169922
587,bb,0,0.025509953498840332
588,bb,0,0.02437293529510498
589,bb,0,0.024577975273132324
590,bb,1,0.02073800563812256
591,bb,1,0.023867011070251465
592,bb,1,0.01783907413482666
593,bb,0,0.0295870304107666
594,bb,0,0.026769042015075684
595,bb,1,0.023715972900390625
596,bb,1,0.02196800708770752
597,bb,0,0.022912025451660156
598,bb,0,0.02208995819091797
599,bb,1,0.02394998073577881
600,bb,1,0.02387392520904541
601,bb,1,0.021847963333129883
602,bb,0,0.02834796905517578
603,bb,0,0.02507197856903076
604,bb,1,0.025499939918518066
605,bb,0,0.036357998847961426
606,bb,1,0.027737975120544434
607,bb,0,0.02469193935394287
608,bb,0,0.026855945587158203
609,bb,0,0.02314901351928711
610,bb,0,0.023329973220825195
611,bb,1,0.029709935188293457
612,bb,1,0.025735020637512207
613,bb,1,0.041665077209472656
614,bb,0,0.02591395378112793
615,bb,0,0.019140005111694336
616,bb,1,0.02562093734741211
617,bb,1,0.027239084243774414
618,bb,1,0.047114014625549316
619,bb,1,0.028058886528015137
620,bb,1,0.025596022605895996
621,bb,0,0.050369977951049805
622,bb,1,0.024139046669006348
623,bb,0,0.023648977279663086
624,bb,0,0.03193509578704834
625,bb,1,0.028794050216674805
626,bb,0,0.027186036109924316
627,bb,1,0.024580001831054688
628,bb,0,0.02511894702911377
629,bb,1,0.029803991317749023
630,bb,0,0.024850010871887207
631,bb,0,0.02196502685546875
632,bb,0,0.031213998794555664
633,bb,0,0.02323901653289795
634,bb,0,0.023672938346862793
635,bb,1,0.021952033042907715
636,bb,1,0.044277071952819824
637,bb,0,0.02794492244720459
638,bb,0,0.04255998134613037
639,bb,0,0.021358966827392578
640,bb,1,0.029453039169311523
641,bb,0,0.027055025100708008
642,bb,1,0.06708896160125732
643,bb,1,0.024966001510620117
644,bb,0,0.02212202548980713
645,bb,1,0.028022050857543945
646,bb,0,0.02333509922027588
647,bb,0,0.025763988494873047
648,bb,1,0.029049992561340332
649,bb,1,0.023797988891601562
650,bb,0,0.023396968841552734
651,bb,1,0.0269930362701416
652,bb,0,0.023905038833618164
