# MCTS: [] []
# PLAYERS: [MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.random]
GAME,WINNER,TIME,random,random,random,random
261,3,0.3693469762802124,24,22,24,39
262,0,0.3656129837036133,40,25,25,26
263,3,0.41740691661834717,19,27,22,41
264,0,0.4502660036087036,40,25,27,28
265,3,0.47972095012664795,24,22,26,44
266,0,0.390159010887146,44,30,21,24
267,2,0.37433695793151855,27,26,42,21
268,0,0.304218053817749,40,17,21,20
269,2,0.4139750003814697,31,26,40,26
270,1,0.35285794734954834,27,42,19,24
271,0,0.37521207332611084,38,24,22,26
272,0,0.2989840507507324,38,17,18,24
273,0,0.46934306621551514,45,26,26,27
274,2,0.49384403228759766,26,23,40,27
275,0,0.36099398136138916,40,25,16,18
276,2,0.3808940649032593,29,19,42,18
277,2,0.41028594970703125,18,20,39,25
278,3,0.3168529272079468,17,19,16,39
279,3,0.48850297927856445,27,29,24,42
280,0,0.3954890966415405,40,22,25,19
281,1,0.43282008171081543,32,42,26,30
282,0,0.3827500343322754,41,22,23,16
283,1,0.3823350667953491,18,41,24,22
284,3,0.37586498260498047,26,17,39,40
285,0,0.43596506118774414,39,25,24,29
286,0,0.41838693618774414,42,22,24,29
287,2,0.43890905380249023,27,29,40,26
288,2,0.40285301208496094,24,24,39,39
289,2,0.37393999099731445,26,25,39,19
290,1,0.3334488868713379,22,37,15,14
291,1,0.45260000228881836,23,41,29,40
292,1,0.49235403537750244,30,43,24,30
293,2,0.45573198795318604,28,21,45,22
294,1,0.36217594146728516,29,41,21,22
295,3,0.4616539478302002,23,27,26,39
296,2,0.43631303310394287,29,23,43,24
297,2,0.42323005199432373,32,31,42,29
298,2,0.33919501304626465,26,28,42,25
299,2,0.43982505798339844,29,26,43,25
300,2,0.49122297763824463,30,29,44,24
301,1,0.5033220052719116,29,40,20,24
302,2,0.39174699783325195,24,25,39,27
303,1,0.45779502391815186,23,39,28,23
304,1,0.3741070032119751,27,41,18,19
305,2,0.469372034072876,23,24,45,24
306,2,0.37940800189971924,24,21,41,26
307,1,0.35092198848724365,28,40,21,19
308,1,0.32900404930114746,22,39,23,22
309,0,0.3432110548019409,39,19,25,22
310,0,0.4840710163116455,43,26,20,28
311,1,0.4185299873352051,23,42,32,30
312,1,0.4374270439147949,22,38,22,27
313,3,0.523277997970581,29,28,23,40
314,1,0.47685396671295166,26,43,24,20
315,0,0.5121030807495117,42,33,23,29
316,2,0.3768789768218994,25,20,41,19
317,1,0.5105190277099609,21,43,27,26
318,1,0.4324159622192383,27,43,41,25
319,0,0.44413697719573975,41,17,22,26
320,3,0.39167702198028564,21,22,23,39
321,2,0.4014730453491211,28,29,38,22
322,3,0.5108649730682373,28,28,26,43
323,0,0.32109296321868896,39,21,23,19
324,1,0.4997539520263672,26,41,40,22
325,2,0.46663010120391846,30,29,43,20
326,2,0.4766460657119751,24,25,45,26
327,0,0.48703503608703613,44,25,34,27
328,1,0.44601595401763916,24,43,20,22
329,2,0.45559394359588623,28,27,39,29
330,0,0.43502700328826904,44,29,29,21
331,2,0.4504278898239136,28,29,41,28
332,0,0.3549230098724365,39,27,29,27
333,0,0.4493730068206787,37,22,26,25
334,3,0.42291998863220215,29,18,23,40
335,3,0.37301599979400635,22,19,26,39
336,3,0.5291920900344849,19,28,25,43
337,3,0.5177439451217651,20,26,34,43
338,0,0.34265100955963135,39,20,22,25
339,2,0.4962409734725952,23,29,40,28
340,3,0.5123239755630493,29,27,26,45
341,0,0.4115959405899048,43,29,17,20
342,3,0.48560595512390137,22,24,30,41
343,3,0.5118809938430786,32,26,31,47
344,1,0.5529309511184692,24,43,29,28
345,2,0.4928300380706787,23,31,45,34
346,3,0.3930400609970093,29,24,21,43
347,0,0.3970710039138794,42,25,25,24
348,3,0.28852200508117676,22,22,21,39
349,3,0.43940508365631104,21,28,26,41
350,3,0.45956504344940186,29,32,24,45
351,0,0.5442420244216919,44,26,27,34
352,0,0.41822898387908936,39,24,25,25
