# MCTS: [] []
# PLAYERS: [MCTS_TicketToRide.PlayerType.big, MCTS_TicketToRide.PlayerType.big]
GAME,WINNER,TIME,big,big
0,0,0.1570819616317749,59,36
1,1,0.18773603439331055,43,59
2,0,0.1958789825439453,59,43
3,1,0.10242903232574463,43,59
4,1,0.0739830732345581,36,59
5,1,0.08551502227783203,43,59
6,0,0.08176898956298828,59,43
7,0,0.0916370153427124,59,43
8,0,0.06982302665710449,59,43
9,1,0.07465791702270508,43,59
10,0,0.058892011642456055,53,42
11,0,0.05014491081237793,60,21
12,1,0.061380982398986816,43,59
13,1,0.06475889682769775,42,53
14,0,0.05075395107269287,60,35
15,0,0.06289398670196533,59,43
16,1,0.05108201503753662,42,53
17,0,0.0686030387878418,59,43
18,1,0.0679769515991211,43,59
19,0,0.06666409969329834,59,43
20,1,0.061094045639038086,43,59
21,0,0.060206055641174316,59,43
22,1,0.06292903423309326,43,59
23,1,0.05084502696990967,35,53
24,0,0.06448900699615479,59,43
25,1,0.06409299373626709,43,59
26,1,0.042193055152893066,21,60
27,1,0.06128799915313721,43,59
28,1,0.06134605407714844,43,59
29,0,0.05692398548126221,59,43
30,1,0.05998098850250244,43,59
31,1,0.047583937644958496,35,53
32,1,0.05145096778869629,42,53
33,0,0.06007695198059082,59,43
34,0,0.05355799198150635,53,42
35,1,0.08119595050811768,43,59
36,1,0.05934298038482666,43,59
37,0,0.06598198413848877,59,43
38,1,0.06157398223876953,43,59
39,0,0.06282997131347656,59,43
40,0,0.062197089195251465,59,43
41,1,0.05297398567199707,43,59
42,1,0.06615996360778809,35,60
43,0,0.06529605388641357,53,35
44,1,0.16934096813201904,43,59
45,1,0.06681394577026367,43,59
46,1,0.05527698993682861,43,59
47,0,0.06121397018432617,59,43
48,1,0.06359696388244629,43,59
49,1,0.06090402603149414,43,59
50,1,0.05218505859375,43,59
51,0,0.06423401832580566,59,43
52,0,0.07548689842224121,60,35
53,1,0.04502701759338379,42,53
54,0,0.04907107353210449,59,29
55,0,0.07537496089935303,53,42
56,0,0.0570979118347168,59,43
57,0,0.05603194236755371,59,43
58,1,0.061195969581604004,43,59
59,0,0.05886495113372803,59,43
60,1,0.06009793281555176,43,59
61,0,0.13457703590393066,59,43
62,0,0.06234109401702881,59,43
63,1,0.05817604064941406,43,59
64,0,0.061160922050476074,59,43
65,0,0.09969103336334229,59,43
66,0,0.05965900421142578,59,43
67,1,0.04151201248168945,21,60
68,1,0.06277704238891602,43,59
69,0,0.04639697074890137,53,42
70,0,0.06276988983154297,59,43
71,0,0.06246805191040039,59,43
72,1,0.04465198516845703,14,60
73,1,0.060539960861206055,43,59
74,1,0.03876996040344238,21,60
75,1,0.046177029609680176,35,60
76,0,0.052609920501708984,59,43
77,0,0.05005204677581787,59,43
78,1,0.053315043449401855,42,53
79,1,0.06085801124572754,43,59
